,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
0,01/01/2018,7°C/9°C,7°C/9°C,7°C/9°C,7°C/9°C,7°C/9°C
1,02/01/2018,5°C/11°C,5°C/11°C,5°C/11°C,5°C/11°C,5°C/11°C
2,03/01/2018,9°C/15°C,8°C/15°C,9°C/15°C,8°C/15°C,9°C/15°C
3,04/01/2018,10°C/14°C,9°C/14°C,8°C/14°C,11°C/14°C,13°C/14°C
4,05/01/2018,8°C/11°C,7°C/10°C,8°C/10°C,8°C/10°C,9°C/10°C
5,06/01/2018,6°C/7°C,6°C/7°C,6°C/7°C,6°C/7°C,6°C/7°C
6,07/01/2018,6°C/7°C,5°C/7°C,6°C/7°C,6°C/7°C,5°C/6°C
7,08/01/2018,5°C/8°C,4°C/7°C,5°C/8°C,5°C/8°C,5°C/7°C
8,09/01/2018,5°C/8°C,4°C/8°C,5°C/8°C,5°C/8°C,4°C/7°C
9,10/01/2018,7°C/8°C,6°C/8°C,6°C/8°C,6°C/8°C,7°C/8°C
10,11/01/2018,5°C/7°C,5°C/7°C,5°C/7°C,5°C/7°C,5°C/7°C
11,12/01/2018,4°C/5°C,3°C/5°C,4°C/6°C,4°C/6°C,4°C/5°C
12,13/01/2018,3°C/6°C,3°C/6°C,3°C/6°C,3°C/6°C,3°C/6°C
13,14/01/2018,2°C/7°C,2°C/7°C,3°C/8°C,3°C/8°C,2°C/7°C
14,15/01/2018,5°C/9°C,5°C/9°C,5°C/9°C,5°C/9°C,5°C/9°C
15,16/01/2018,7°C/10°C,6°C/9°C,7°C/9°C,7°C/9°C,6°C/9°C
16,17/01/2018,5°C/7°C,4°C/7°C,4°C/7°C,4°C/7°C,5°C/7°C
17,18/01/2018,8°C/11°C,7°C/11°C,10°C/11°C,8°C/11°C,10°C/11°C
18,19/01/2018,5°C/7°C,4°C/7°C,5°C/7°C,4°C/7°C,5°C/7°C
19,20/01/2018,5°C/10°C,6°C/11°C,5°C/11°C,5°C/11°C,6°C/10°C
20,21/01/2018,5°C/10°C,6°C/11°C,5°C/11°C,5°C/11°C,5°C/11°C
21,22/01/2018,8°C/12°C,8°C/13°C,10°C/13°C,8°C/13°C,10°C/13°C
22,23/01/2018,7°C/11°C,7°C/11°C,7°C/11°C,7°C/11°C,7°C/12°C
23,24/01/2018,11°C/12°C,11°C/11°C,10°C/11°C,10°C/11°C,11°C/12°C
24,25/01/2018,8°C/11°C,7°C/11°C,8°C/11°C,7°C/11°C,9°C/11°C
25,26/01/2018,5°C/9°C,4°C/9°C,5°C/8°C,5°C/8°C,4°C/9°C
26,27/01/2018,4°C/8°C,4°C/8°C,4°C/7°C,4°C/7°C,4°C/8°C
27,28/01/2018,7°C/10°C,8°C/10°C,6°C/9°C,6°C/9°C,9°C/10°C
28,29/01/2018,9°C/11°C,9°C/11°C,9°C/11°C,9°C/11°C,9°C/10°C
29,30/01/2018,8°C/10°C,8°C/10°C,8°C/10°C,8°C/10°C,8°C/10°C
30,31/01/2018,8°C/9°C,7°C/9°C,8°C/9°C,8°C/9°C,7°C/9°C
31,01/02/2018,4°C/7°C,3°C/7°C,3°C/7°C,3°C/7°C,4°C/7°C
32,02/02/2018,3°C/6°C,3°C/7°C,3°C/6°C,3°C/6°C,3°C/6°C
33,03/02/2018,3°C/5°C,3°C/4°C,3°C/5°C,3°C/5°C,3°C/5°C
34,04/02/2018,1°C/3°C,0°C/3°C,2°C/3°C,0°C/3°C,2°C/4°C
35,05/02/2018,-1°C/3°C,-1°C/2°C,-1°C/3°C,-1°C/3°C,-1°C/3°C
36,06/02/2018,-1°C/1°C,-2°C/1°C,0°C/1°C,-1°C/1°C,-1°C/1°C
37,07/02/2018,-3°C/-0°C,-5°C/0°C,-1°C/0°C,-2°C/-0°C,-2°C/1°C
38,08/02/2018,-4°C/1°C,-4°C/0°C,-4°C/0°C,-4°C/-0°C,-3°C/1°C
39,09/02/2018,-3°C/1°C,-3°C/1°C,-3°C/1°C,-3°C/1°C,-2°C/1°C
40,10/02/2018,-1°C/2°C,-2°C/2°C,-1°C/1°C,-1°C/1°C,-1°C/2°C
41,11/02/2018,3°C/6°C,2°C/6°C,4°C/6°C,3°C/6°C,5°C/7°C
42,12/02/2018,1°C/5°C,0°C/5°C,1°C/5°C,1°C/5°C,1°C/6°C
43,13/02/2018,1°C/4°C,1°C/3°C,2°C/4°C,1°C/4°C,2°C/3°C
44,14/02/2018,1°C/5°C,1°C/4°C,1°C/5°C,1°C/5°C,1°C/5°C
45,15/02/2018,8°C/9°C,7°C/10°C,8°C/10°C,8°C/10°C,8°C/10°C
46,16/02/2018,5°C/9°C,5°C/9°C,5°C/9°C,5°C/9°C,5°C/9°C
47,17/02/2018,4°C/9°C,4°C/9°C,4°C/8°C,4°C/8°C,4°C/9°C
48,18/02/2018,4°C/8°C,4°C/9°C,4°C/8°C,4°C/8°C,4°C/9°C
49,19/02/2018,3°C/5°C,3°C/6°C,2°C/5°C,2°C/5°C,3°C/6°C
50,20/02/2018,3°C/7°C,3°C/7°C,3°C/6°C,3°C/6°C,3°C/6°C
51,21/02/2018,1°C/6°C,1°C/5°C,2°C/6°C,2°C/6°C,1°C/5°C
52,22/02/2018,0°C/5°C,0°C/5°C,0°C/5°C,0°C/5°C,0°C/5°C
53,23/02/2018,0°C/4°C,0°C/4°C,0°C/4°C,0°C/4°C,0°C/4°C
54,24/02/2018,0°C/5°C,0°C/5°C,0°C/5°C,0°C/5°C,0°C/5°C
55,25/02/2018,-1°C/3°C,-1°C/3°C,-1°C/3°C,-1°C/3°C,-1°C/3°C
56,26/02/2018,-3°C/-0°C,-3°C/-0°C,-3°C/0°C,-3°C/-0°C,-3°C/-0°C
57,27/02/2018,-4°C/-2°C,-4°C/-2°C,-4°C/-2°C,-4°C/-2°C,-4°C/-2°C
58,28/02/2018,-5°C/-1°C,-5°C/-1°C,-5°C/-1°C,-5°C/-1°C,-5°C/-1°C
59,01/03/2018,-2°C/3°C,-1°C/3°C,0°C/5°C,0°C/5°C,-2°C/2°C
60,02/03/2018,2°C/8°C,2°C/8°C,3°C/8°C,3°C/8°C,1°C/8°C
61,03/03/2018,4°C/10°C,4°C/11°C,4°C/11°C,4°C/11°C,4°C/10°C
62,04/03/2018,5°C/7°C,5°C/7°C,6°C/8°C,6°C/8°C,5°C/7°C
63,05/03/2018,6°C/12°C,6°C/11°C,6°C/12°C,6°C/12°C,6°C/11°C
64,06/03/2018,6°C/11°C,6°C/11°C,7°C/11°C,7°C/11°C,6°C/11°C
65,07/03/2018,6°C/10°C,5°C/9°C,6°C/10°C,6°C/10°C,6°C/10°C
66,08/03/2018,7°C/9°C,6°C/9°C,7°C/10°C,7°C/10°C,7°C/8°C
67,09/03/2018,7°C/14°C,8°C/14°C,8°C/14°C,8°C/14°C,7°C/14°C
68,10/03/2018,11°C/15°C,11°C/15°C,11°C/16°C,11°C/16°C,11°C/15°C
69,11/03/2018,13°C/17°C,12°C/16°C,13°C/17°C,12°C/17°C,12°C/17°C
70,12/03/2018,10°C/12°C,9°C/12°C,10°C/12°C,9°C/12°C,11°C/12°C
71,13/03/2018,9°C/12°C,7°C/12°C,9°C/12°C,9°C/12°C,9°C/12°C
72,14/03/2018,8°C/13°C,8°C/14°C,8°C/13°C,8°C/13°C,8°C/14°C
73,15/03/2018,9°C/13°C,9°C/13°C,8°C/13°C,8°C/13°C,9°C/13°C
74,16/03/2018,9°C/13°C,8°C/13°C,8°C/13°C,8°C/13°C,9°C/13°C
75,17/03/2018,3°C/7°C,3°C/7°C,5°C/7°C,3°C/7°C,4°C/7°C
76,18/03/2018,0°C/2°C,0°C/3°C,0°C/2°C,0°C/2°C,1°C/2°C
77,19/03/2018,0°C/3°C,0°C/3°C,0°C/3°C,0°C/3°C,0°C/3°C
78,20/03/2018,2°C/7°C,2°C/7°C,2°C/7°C,2°C/7°C,2°C/7°C
79,21/03/2018,4°C/8°C,2°C/7°C,3°C/8°C,3°C/8°C,4°C/7°C
80,22/03/2018,5°C/8°C,4°C/8°C,4°C/8°C,4°C/8°C,5°C/8°C
81,23/03/2018,5°C/6°C,5°C/7°C,1°C/6°C,5°C/6°C,5°C/8°C
82,24/03/2018,5°C/13°C,6°C/13°C,5°C/13°C,5°C/13°C,6°C/13°C
83,25/03/2018,10°C/14°C,9°C/14°C,10°C/14°C,10°C/14°C,10°C/14°C
84,26/03/2018,8°C/13°C,8°C/13°C,8°C/13°C,8°C/13°C,8°C/13°C
85,27/03/2018,7°C/11°C,7°C/12°C,6°C/11°C,6°C/11°C,7°C/11°C
86,28/03/2018,7°C/12°C,5°C/12°C,9°C/12°C,7°C/12°C,9°C/12°C
87,29/03/2018,7°C/12°C,7°C/11°C,8°C/12°C,8°C/12°C,7°C/11°C
88,30/03/2018,6°C/10°C,5°C/10°C,6°C/10°C,6°C/10°C,6°C/10°C
89,31/03/2018,8°C/11°C,5°C/11°C,8°C/11°C,8°C/11°C,7°C/11°C
90,01/04/2018,8°C/10°C,7°C/10°C,8°C/10°C,8°C/10°C,8°C/10°C
91,02/04/2018,10°C/16°C,10°C/16°C,10°C/17°C,10°C/17°C,10°C/15°C
92,03/04/2018,11°C/14°C,8°C/13°C,13°C/14°C,10°C/14°C,11°C/12°C
93,04/04/2018,11°C/14°C,9°C/14°C,11°C/14°C,10°C/14°C,12°C/14°C
94,05/04/2018,9°C/10°C,7°C/10°C,9°C/10°C,8°C/10°C,8°C/10°C
95,06/04/2018,11°C/19°C,11°C/19°C,11°C/19°C,11°C/19°C,11°C/19°C
96,07/04/2018,15°C/20°C,14°C/19°C,14°C/20°C,14°C/20°C,16°C/19°C
97,08/04/2018,16°C/21°C,14°C/21°C,17°C/21°C,15°C/21°C,15°C/21°C
98,09/04/2018,12°C/14°C,11°C/13°C,10°C/13°C,12°C/13°C,13°C/14°C
99,10/04/2018,12°C/15°C,10°C/15°C,13°C/15°C,11°C/15°C,13°C/15°C
100,11/04/2018,13°C/18°C,12°C/18°C,13°C/18°C,13°C/18°C,13°C/18°C
101,12/04/2018,12°C/14°C,10°C/14°C,9°C/12°C,11°C/12°C,12°C/15°C
102,13/04/2018,13°C/17°C,11°C/16°C,12°C/17°C,12°C/17°C,13°C/17°C
103,14/04/2018,14°C/17°C,11°C/16°C,13°C/16°C,13°C/16°C,14°C/17°C
104,15/04/2018,14°C/17°C,11°C/16°C,14°C/17°C,14°C/17°C,14°C/16°C
105,16/04/2018,13°C/16°C,11°C/15°C,13°C/16°C,13°C/16°C,13°C/16°C
106,17/04/2018,15°C/21°C,14°C/20°C,15°C/20°C,15°C/20°C,15°C/21°C
107,18/04/2018,18°C/25°C,18°C/25°C,18°C/24°C,18°C/24°C,18°C/25°C
108,19/04/2018,20°C/27°C,19°C/26°C,20°C/26°C,20°C/26°C,20°C/27°C
109,20/04/2018,23°C/28°C,19°C/27°C,23°C/27°C,23°C/27°C,23°C/28°C
110,21/04/2018,21°C/27°C,20°C/27°C,22°C/26°C,22°C/26°C,21°C/27°C
111,22/04/2018,22°C/26°C,18°C/25°C,21°C/25°C,21°C/25°C,22°C/26°C
112,23/04/2018,16°C/19°C,13°C/18°C,16°C/18°C,16°C/18°C,15°C/18°C
113,24/04/2018,15°C/20°C,14°C/19°C,15°C/20°C,15°C/20°C,15°C/20°C
114,25/04/2018,13°C/15°C,9°C/15°C,13°C/16°C,13°C/16°C,12°C/15°C
115,26/04/2018,12°C/14°C,10°C/14°C,12°C/14°C,12°C/14°C,12°C/14°C
116,27/04/2018,14°C/18°C,12°C/18°C,14°C/18°C,14°C/18°C,14°C/18°C
117,28/04/2018,12°C/15°C,10°C/15°C,13°C/14°C,12°C/14°C,12°C/16°C
118,29/04/2018,10°C/12°C,9°C/11°C,9°C/12°C,9°C/12°C,9°C/11°C
119,30/04/2018,6°C/10°C,5°C/9°C,7°C/10°C,6°C/10°C,6°C/9°C
120,01/05/2018,10°C/14°C,8°C/13°C,9°C/13°C,9°C/13°C,10°C/13°C
121,02/05/2018,12°C/16°C,10°C/15°C,12°C/16°C,12°C/16°C,12°C/15°C
122,03/05/2018,13°C/16°C,10°C/16°C,13°C/16°C,13°C/16°C,13°C/16°C
123,04/05/2018,14°C/18°C,12°C/18°C,14°C/18°C,14°C/18°C,14°C/18°C
124,05/05/2018,16°C/23°C,16°C/22°C,16°C/22°C,16°C/22°C,16°C/22°C
125,06/05/2018,20°C/26°C,19°C/26°C,20°C/25°C,20°C/25°C,20°C/26°C
126,07/05/2018,21°C/25°C,18°C/25°C,20°C/24°C,20°C/24°C,22°C/25°C
127,08/05/2018,22°C/26°C,15°C/26°C,21°C/26°C,21°C/26°C,22°C/26°C
128,09/05/2018,17°C/22°C,15°C/20°C,18°C/22°C,18°C/22°C,17°C/21°C
129,10/05/2018,14°C/16°C,10°C/16°C,14°C/16°C,14°C/16°C,14°C/16°C
130,11/05/2018,15°C/20°C,15°C/20°C,15°C/20°C,15°C/20°C,15°C/21°C
131,12/05/2018,14°C/21°C,9°C/19°C,19°C/20°C,14°C/20°C,19°C/20°C
132,13/05/2018,11°C/14°C,11°C/15°C,11°C/13°C,11°C/13°C,11°C/15°C
133,14/05/2018,11°C/14°C,11°C/14°C,10°C/13°C,10°C/13°C,12°C/15°C
134,15/05/2018,13°C/20°C,13°C/19°C,12°C/19°C,12°C/19°C,14°C/19°C
135,16/05/2018,16°C/20°C,12°C/20°C,16°C/20°C,16°C/20°C,16°C/20°C
136,17/05/2018,12°C/18°C,11°C/18°C,12°C/18°C,12°C/18°C,13°C/18°C
137,18/05/2018,13°C/18°C,12°C/18°C,13°C/17°C,13°C/17°C,13°C/18°C
138,19/05/2018,14°C/18°C,12°C/18°C,14°C/18°C,14°C/18°C,14°C/18°C
139,20/05/2018,16°C/21°C,15°C/21°C,17°C/21°C,17°C/21°C,16°C/22°C
140,21/05/2018,17°C/24°C,16°C/23°C,17°C/22°C,17°C/22°C,18°C/24°C
141,22/05/2018,19°C/23°C,15°C/22°C,19°C/23°C,18°C/23°C,19°C/23°C
142,23/05/2018,18°C/21°C,14°C/20°C,18°C/21°C,18°C/21°C,17°C/19°C
143,24/05/2018,21°C/24°C,17°C/23°C,20°C/23°C,20°C/23°C,21°C/24°C
144,25/05/2018,20°C/25°C,18°C/25°C,21°C/24°C,20°C/24°C,21°C/25°C
145,26/05/2018,23°C/28°C,22°C/28°C,22°C/27°C,22°C/27°C,23°C/29°C
146,27/05/2018,24°C/28°C,20°C/27°C,23°C/27°C,23°C/27°C,24°C/28°C
147,28/05/2018,21°C/25°C,19°C/26°C,15°C/23°C,20°C/23°C,25°C/27°C
148,29/05/2018,20°C/24°C,18°C/23°C,19°C/23°C,19°C/23°C,21°C/24°C
149,30/05/2018,21°C/25°C,19°C/24°C,20°C/24°C,20°C/24°C,21°C/25°C
150,31/05/2018,22°C/24°C,17°C/23°C,21°C/23°C,20°C/23°C,22°C/24°C
151,01/06/2018,19°C/20°C,16°C/20°C,17°C/20°C,17°C/20°C,19°C/20°C
152,02/06/2018,20°C/24°C,17°C/24°C,20°C/23°C,20°C/23°C,20°C/24°C
