,Date,Paris,Paris_weather,Paris_min,Paris_max,Paris_avg,Versailles,Versailles_weather,Versailles_min,Versailles_max,Versailles_avg,Melun,Melun_weather,Melun_min,Melun_max,Fontainebleau,Fontainebleau_weather,Fontainebleau_min,Fontainebleau_max,Fontainebleau_avg,Cergy,Cergy_weather,Cergy_min,Cergy_max,Cergy_avg
0,01/01/2019,7°C/9°C,2,7,9,8.0,7°C/9°C,2,7,9,8.0,7°C/8°C,2,7,8,7°C/8°C,2,7,8,7.5,8°C/9°C,2,8,9,8.5
1,02/01/2019,5°C/8°C,3,5,8,6.5,4°C/7°C,3,4,7,5.5,4°C/7°C,3,4,7,4°C/7°C,3,4,7,5.5,4°C/7°C,3,4,7,5.5
2,03/01/2019,3°C/7°C,3,3,7,5.0,2°C/6°C,3,2,6,4.0,2°C/6°C,3,2,6,1°C/6°C,3,1,6,3.5,3°C/6°C,3,3,6,4.5
3,04/01/2019,2°C/6°C,3,2,6,4.0,1°C/5°C,3,1,5,3.0,1°C/5°C,3,1,5,1°C/5°C,3,1,5,3.0,2°C/5°C,3,2,5,3.5
4,05/01/2019,3°C/6°C,2,3,6,4.5,2°C/6°C,2,2,6,4.0,2°C/6°C,2,2,6,1°C/6°C,2,1,6,3.5,3°C/6°C,2,3,6,4.5
5,06/01/2019,3°C/5°C,2,3,5,4.0,4°C/5°C,2,4,5,4.5,4°C/5°C,2,4,5,4°C/5°C,2,4,5,4.5,4°C/5°C,2,4,5,4.5
6,07/01/2019,5°C/7°C,2,5,7,6.0,4°C/8°C,2,4,8,6.0,5°C/6°C,2,5,6,5°C/6°C,2,5,6,5.5,6°C/8°C,2,6,8,7.0
7,08/01/2019,7°C/9°C,3,7,9,8.0,7°C/8°C,2,7,8,7.5,7°C/8°C,2,7,8,7°C/8°C,2,7,8,7.5,7°C/9°C,3,7,9,8.0
8,09/01/2019,5°C/7°C,2,5,7,6.0,4°C/6°C,2,4,6,5.0,5°C/6°C,2,5,6,4°C/6°C,2,4,6,5.0,4°C/7°C,2,4,7,5.5
9,10/01/2019,2°C/5°C,3,2,5,3.5,1°C/5°C,3,1,5,3.0,1°C/4°C,3,1,4,1°C/4°C,3,1,4,2.5,2°C/5°C,3,2,5,3.5
