,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
0,01/02/2018,4°C/7°C,2°C/7°C,3°C/7°C,2°C/7°C,4°C/7°C
1,02/02/2018,3°C/6°C,1°C/7°C,3°C/6°C,1°C/6°C,3°C/6°C
2,03/02/2018,3°C/5°C,1°C/4°C,3°C/5°C,1°C/5°C,3°C/5°C
3,04/02/2018,1°C/3°C,0°C/3°C,2°C/3°C,-0°C/3°C,2°C/4°C
4,05/02/2018,-1°C/3°C,-1°C/2°C,-1°C/3°C,-2°C/3°C,-1°C/3°C
5,06/02/2018,-1°C/1°C,-2°C/1°C,0°C/1°C,-1°C/1°C,-1°C/1°C
6,07/02/2018,-3°C/-0°C,-5°C/0°C,-1°C/0°C,-4°C/-0°C,-2°C/1°C
7,08/02/2018,-4°C/1°C,-6°C/0°C,-4°C/0°C,-7°C/-0°C,-3°C/1°C
8,09/02/2018,-3°C/1°C,-5°C/1°C,-3°C/1°C,-5°C/1°C,-2°C/1°C
9,10/02/2018,-1°C/2°C,-3°C/2°C,-1°C/1°C,-3°C/1°C,-1°C/2°C
10,11/02/2018,3°C/6°C,2°C/6°C,4°C/6°C,2°C/6°C,5°C/7°C
11,12/02/2018,1°C/5°C,-1°C/5°C,1°C/5°C,-1°C/5°C,1°C/6°C
12,13/02/2018,1°C/4°C,-0°C/3°C,2°C/4°C,-1°C/4°C,2°C/3°C
13,14/02/2018,1°C/5°C,-1°C/4°C,1°C/5°C,-1°C/5°C,1°C/5°C
14,15/02/2018,8°C/9°C,4°C/10°C,8°C/10°C,4°C/10°C,8°C/10°C
15,16/02/2018,5°C/9°C,2°C/9°C,5°C/9°C,3°C/9°C,5°C/9°C
16,17/02/2018,4°C/9°C,4°C/9°C,4°C/8°C,3°C/8°C,4°C/9°C
17,18/02/2018,4°C/8°C,2°C/9°C,4°C/8°C,1°C/8°C,4°C/9°C
18,19/02/2018,3°C/5°C,2°C/6°C,2°C/5°C,0°C/5°C,3°C/6°C
19,20/02/2018,3°C/7°C,3°C/7°C,3°C/6°C,2°C/6°C,3°C/6°C
20,21/02/2018,1°C/6°C,-0°C/5°C,2°C/6°C,-1°C/6°C,1°C/5°C
