date,Paris_weather,Paris_min,Paris_max,Paris_avg,tweetCount,replyCount,retweetCount,likeCount,quoteCount,reactions,replyAvg,retweetAvg,likeAvg,quoteAvg,reactionsAvg,contest
2018-01-01,2,7,9,8.0,8,22,173,806,3,1004,2.8,21.6,100.8,0.4,125.5,0
2018-01-02,2,5,11,8.0,32,34,117,567,3,721,1.1,3.7,17.7,0.1,22.5,0
2018-01-03,2,9,15,12.0,22,411,109,533,26,1079,18.7,5.0,24.2,1.2,49.0,0
2018-01-04,2,10,14,12.0,31,66,344,975,12,1397,2.1,11.1,31.5,0.4,45.1,0
2018-01-05,2,8,11,9.5,23,45,123,568,4,740,2.0,5.3,24.7,0.2,32.2,0
2018-01-06,2,6,7,6.5,11,17,87,322,5,431,1.5,7.9,29.3,0.5,39.2,0
2018-01-07,2,6,7,6.5,7,23,191,767,5,986,3.3,27.3,109.6,0.7,140.9,0
2018-01-08,3,5,8,6.5,29,28,275,1184,14,1501,1.0,9.5,40.8,0.5,51.8,0
2018-01-09,2,5,8,6.5,21,33,144,570,6,753,1.6,6.9,27.1,0.3,35.9,0
2018-01-10,2,7,8,7.5,31,44,126,471,5,646,1.4,4.1,15.2,0.2,20.8,0
2018-01-11,2,5,7,6.0,42,151,2030,1322,14,3517,3.6,48.3,31.5,0.3,83.7,1
2018-01-12,3,4,5,4.5,63,121,204,947,4,1276,1.9,3.2,15.0,0.1,20.3,0
2018-01-13,3,3,6,4.5,14,21,65,425,4,515,1.5,4.6,30.4,0.3,36.8,0
2018-01-14,3,2,7,4.5,12,22,151,655,4,832,1.8,12.6,54.6,0.3,69.3,0
2018-01-15,2,5,9,7.0,41,78,634,2163,27,2902,1.9,15.5,52.8,0.7,70.8,0
2018-01-16,2,7,10,8.5,25,33,103,476,5,617,1.3,4.1,19.0,0.2,24.7,0
2018-01-17,3,5,7,6.0,29,38,123,436,2,599,1.3,4.2,15.0,0.1,20.7,0
2018-01-18,2,8,11,9.5,23,144,487,2962,12,3605,6.3,21.2,128.8,0.5,156.7,0
2018-01-19,3,5,7,6.0,21,65,92,421,7,585,3.1,4.4,20.0,0.3,27.9,1
2018-01-20,2,5,10,7.5,17,45,268,1019,5,1337,2.6,15.8,59.9,0.3,78.6,1
2018-01-21,2,5,10,7.5,11,20,259,899,4,1182,1.8,23.5,81.7,0.4,107.5,0
2018-01-22,2,8,12,10.0,29,349,3576,2948,35,6908,12.0,123.3,101.7,1.2,238.2,0
2018-01-23,2,7,11,9.0,23,95,531,2114,13,2753,4.1,23.1,91.9,0.6,119.7,0
2018-01-24,2,11,12,11.5,21,122,359,1858,9,2348,5.8,17.1,88.5,0.4,111.8,0
2018-01-25,2,8,11,9.5,24,249,452,2273,14,2988,10.4,18.8,94.7,0.6,124.5,0
2018-01-26,3,5,9,7.0,26,221,459,2192,20,2892,8.5,17.7,84.3,0.8,111.2,1
2018-01-27,3,4,8,6.0,9,43,111,640,7,801,4.8,12.3,71.1,0.8,89.0,0
2018-01-28,2,7,10,8.5,11,44,156,819,5,1024,4.0,14.2,74.5,0.5,93.1,1
2018-01-29,2,9,11,10.0,34,62,282,1595,5,1944,1.8,8.3,46.9,0.1,57.2,0
2018-01-30,2,8,10,9.0,29,107,268,1471,4,1850,3.7,9.2,50.7,0.1,63.8,0
2018-01-31,2,8,9,8.5,18,116,161,915,6,1198,6.4,8.9,50.8,0.3,66.6,0
2018-02-01,3,4,7,5.5,32,166,411,2135,16,2728,5.2,12.8,66.7,0.5,85.2,1
2018-02-02,2,3,6,4.5,23,76,202,1116,10,1404,3.3,8.8,48.5,0.4,61.0,1
2018-02-03,2,3,5,4.0,15,104,201,918,3,1226,6.9,13.4,61.2,0.2,81.7,0
2018-02-04,3,1,3,2.0,14,39,138,672,4,853,2.8,9.9,48.0,0.3,60.9,1
2018-02-05,2,-1,3,1.0,30,77,277,1277,8,1639,2.6,9.2,42.6,0.3,54.6,2
2018-02-06,2,-1,1,0.0,20,43,152,685,6,886,2.2,7.6,34.2,0.3,44.3,0
2018-02-07,2,-3,0,-1.5,54,130,422,2108,10,2670,2.4,7.8,39.0,0.2,49.4,0
2018-02-08,3,-4,1,-1.5,22,165,536,2412,19,3132,7.5,24.4,109.6,0.9,142.4,0
2018-02-09,2,-3,1,-1.0,46,9485,55466,28362,2388,95701,206.2,1205.8,616.6,51.9,2080.5,5
2018-02-10,1,-1,2,0.5,13,133,1112,2731,17,3993,10.2,85.5,210.1,1.3,307.2,5
2018-02-11,2,3,6,4.5,27,196,796,2091,3,3086,7.3,29.5,77.4,0.1,114.3,2
2018-02-12,3,1,5,3.0,28,154,803,2287,12,3256,5.5,28.7,81.7,0.4,116.3,2
2018-02-13,2,1,4,2.5,28,197,1048,2781,15,4041,7.0,37.4,99.3,0.5,144.3,5
2018-02-14,2,1,5,3.0,34,266,1081,2853,27,4227,7.8,31.8,83.9,0.8,124.3,5
2018-02-15,1,8,9,8.5,37,273,1177,3985,26,5461,7.4,31.8,107.7,0.7,147.6,3
2018-02-16,2,5,9,7.0,28,621,1412,4604,27,6664,22.2,50.4,164.4,1.0,238.0,6
