date,replyCount,retweetCount,likeCount,quoteCount
01/01/2019,12,5,170,0
01/01/2020,119,354,849,66
01/01/2021,206,968,1480,21
01/02/2019,652,1609,5699,69
01/02/2020,6,63,334,0
01/03/2019,51,115,1007,10
01/03/2020,13,27,263,3
01/04/2019,97,174,1305,15
01/04/2020,182,80,577,15
01/05/2019,28,12,121,0
01/05/2020,98,512,1718,23
01/06/2019,4,22,113,0
01/06/2020,16,24,212,0
01/07/2019,310,212,609,16
01/07/2020,16,7,201,0
01/08/2019,18,23,154,2
01/08/2020,6,6,113,0
01/09/2019,13,16,186,2
01/09/2020,18,29,308,0
01/10/2018,35,86,401,4
01/10/2019,9,14,92,1
01/10/2020,103,240,1536,10
01/11/2018,11,77,457,3
01/11/2019,23,18,214,3
01/11/2020,37,41,521,8
01/12/2018,9,41,215,2
01/12/2019,15,35,316,4
01/12/2020,146,697,1521,93
02/01/2019,45,159,820,11
02/01/2020,160,841,5631,26
02/01/2021,342,1982,3024,19
02/02/2019,408,1705,3647,36
02/02/2020,18,82,563,3
02/03/2019,45,83,523,9
02/03/2020,11,27,264,1
02/04/2019,192,178,1546,15
02/04/2020,126,240,1738,20
02/05/2019,20,18,185,1
02/05/2020,22,42,229,1
02/06/2019,20,34,208,2
02/06/2020,39,17,309,1
02/07/2019,17,26,224,3
02/07/2020,24,23,287,0
02/08/2019,338,56,419,19
02/08/2020,58,165,525,9
02/09/2019,39,13,203,4
02/09/2020,19,20,208,1
02/10/2018,69,135,647,7
02/10/2019,19,28,146,3
02/10/2020,82,359,2153,23
02/11/2018,88,77,612,9
02/11/2019,18,38,251,2
02/11/2020,90,226,1785,22
02/12/2018,29,65,382,2
02/12/2019,598,792,13631,36
02/12/2020,278,125,1659,27
03/01/2019,209,139,1464,24
03/01/2020,171,231,550,38
03/01/2021,230,1472,2371,18
03/02/2019,279,668,2552,13
03/02/2020,103,237,1676,22
03/03/2019,28,31,363,1
03/03/2020,7,16,159,1
03/04/2019,70,107,839,14
03/04/2020,19,80,527,3
03/05/2019,249,249,3130,21
03/05/2020,78,572,2153,26
03/06/2019,14,15,130,2
03/06/2020,12,4,134,2
03/07/2019,53,39,435,9
03/07/2020,6,4,120,0
03/08/2019,1,2,26,1
03/08/2020,43,16,446,2
03/09/2019,86,83,811,20
03/09/2020,18,36,228,2
03/10/2018,79,126,964,9
03/10/2019,23,20,137,7
03/10/2020,40,77,327,1
03/11/2018,7,60,452,3
03/11/2019,17,24,149,2
03/11/2020,17,28,265,1
03/12/2018,958,15677,5433,158
03/12/2019,677,396,7610,11
03/12/2020,38,44,443,10
04/01/2019,278,151,1645,14
04/01/2020,24,18,155,4
04/01/2021,496,2477,3677,45
04/02/2019,3373,3250,17303,127
04/02/2020,6,33,212,0
04/03/2019,838,15778,4627,237
04/03/2020,6191,2645,4997,147
04/04/2019,188,311,2548,26
04/04/2020,8,15,178,0
04/05/2019,4,5,63,1
04/05/2020,181,70,734,9
04/06/2019,60,91,675,7
04/06/2020,66,51,610,7
04/07/2019,220,163,1576,21
04/07/2020,8,13,182,0
04/08/2019,208,134,896,21
04/08/2020,23,19,280,4
04/09/2019,252,76,1014,17
04/09/2020,9,16,155,1
04/10/2018,295,3150,1836,50
04/10/2019,41,49,338,7
04/10/2020,61,185,824,3
04/11/2018,18,189,911,3
04/11/2019,37,26,257,3
04/11/2020,20,17,198,2
04/12/2018,75,267,826,15
04/12/2019,1817,3432,7378,150
04/12/2020,29,30,379,1
05/01/2019,42,455,1514,17
05/01/2020,107,271,563,34
05/01/2021,644,393,3004,23
05/02/2019,231,261,2870,18
05/02/2020,3061,3290,12205,195
05/03/2019,203,383,2889,41
05/03/2020,220,224,1252,17
05/04/2019,82,411,2119,34
05/04/2020,21,95,952,4
05/05/2019,8,16,225,2
05/05/2020,673,534,2707,62
05/06/2019,55,20,167,2
