date,Paris_weather,Paris_min,Paris_max,Paris_avg
01/01/2020,3,2,6,4.0
02/01/2020,2,7,9,8.0
03/01/2020,2,9,11,10.0
04/01/2020,3,6,8,7.0
05/01/2020,2,7,10,8.5
06/01/2020,3,4,8,6.0
07/01/2020,3,6,10,8.0
08/01/2020,2,10,11,10.5
09/01/2020,2,10,11,10.5
10/01/2020,2,8,10,9.0
11/01/2020,3,5,8,6.5
12/01/2020,2,6,8,7.0
13/01/2020,2,7,10,8.5
14/01/2020,2,7,10,8.5
15/01/2020,3,9,11,10.0
16/01/2020,3,7,12,9.5
17/01/2020,1,8,10,9.0
18/01/2020,3,5,8,6.5
19/01/2020,3,4,7,5.5
20/01/2020,3,3,7,5.0
21/01/2020,3,3,8,5.5
22/01/2020,3,3,7,5.0
23/01/2020,3,3,8,5.5
24/01/2020,3,3,8,5.5
25/01/2020,2,3,8,5.5
26/01/2020,3,5,10,7.5
27/01/2020,1,8,9,8.5
28/01/2020,2,6,9,7.5
29/01/2020,2,6,9,7.5
30/01/2020,2,6,11,8.5
31/01/2020,2,11,13,12.0
01/02/2020,1,12,14,13.0
02/02/2020,1,13,16,14.5
03/02/2020,3,11,13,12.0
04/02/2020,2,7,8,7.5
05/02/2020,3,6,9,7.5
06/02/2020,3,4,10,7.0
07/02/2020,3,5,10,7.5
08/02/2020,2,8,10,9.0
09/02/2020,3,9,12,10.5
10/02/2020,2,9,13,11.0
11/02/2020,2,7,8,7.5
12/02/2020,2,5,9,7.0
13/02/2020,1,8,10,9.0
14/02/2020,2,8,11,9.5
15/02/2020,2,8,13,10.5
16/02/2020,2,14,16,15.0
17/02/2020,2,9,12,10.5
18/02/2020,3,6,11,8.5
19/02/2020,3,7,9,8.0
20/02/2020,2,9,10,9.5
21/02/2020,3,6,9,7.5
22/02/2020,3,7,12,9.5
23/02/2020,2,12,14,13.0
24/02/2020,2,11,12,11.5
25/02/2020,2,8,11,9.5
26/02/2020,0,2,7,4.5
27/02/2020,1,6,10,8.0
28/02/2020,2,5,7,6.0
29/02/2020,2,8,11,9.5
01/03/2020,2,2,9,5.5
02/03/2020,1,6,8,7.0
03/03/2020,2,3,9,6.0
04/03/2020,2,4,8,6.0
05/03/2020,1,8,11,9.5
06/03/2020,2,6,9,7.5
07/03/2020,3,4,11,7.5
08/03/2020,2,7,10,8.5
09/03/2020,2,6,11,8.5
10/03/2020,2,8,14,11.0
11/03/2020,2,13,16,14.5
12/03/2020,2,7,12,9.5
13/03/2020,3,6,11,8.5
14/03/2020,2,7,11,9.0
15/03/2020,2,7,15,11.0
16/03/2020,2,9,11,10.0
17/03/2020,2,9,15,12.0
18/03/2020,3,9,17,13.0
19/03/2020,3,12,18,15.0
20/03/2020,3,10,17,13.5
21/03/2020,2,7,9,8.0
22/03/2020,3,6,11,8.5
23/03/2020,3,2,11,6.5
24/03/2020,3,4,13,8.5
25/03/2020,3,4,11,7.5
26/03/2020,3,4,10,7.0
27/03/2020,3,5,13,9.0
28/03/2020,3,8,16,12.0
29/03/2020,2,4,8,6.0
30/03/2020,3,0,8,4.0
31/03/2020,3,2,10,6.0
01/04/2020,3,5,15,10.0
02/04/2020,3,4,10,7.0
03/04/2020,2,7,14,10.5
04/04/2020,3,7,16,11.5
05/04/2020,3,10,20,15.0
06/04/2020,3,8,15,11.5
07/04/2020,2,10,21,15.5
08/04/2020,3,13,25,19.0
09/04/2020,3,16,25,20.5
10/04/2020,3,15,24,19.5
11/04/2020,3,16,25,20.5
12/04/2020,3,16,23,19.5
13/04/2020,2,9,16,12.5
